header,id_required,definition,synonim
PermittedValuesDefinitions,Conditionally Required,"If the CDE datatype is a Value List (or Single pre-defined value or Multiple pre-defined values or Boolean) a definition is required for each PV. In some cases, PV Definitions may be found in the same terminology system as the PV Concept Identifier. Use a pipe ""|"" to separate values in the list. The number and order of Definitions should correspond to the number and order of the PV Labels.",Permitted_Values_Definitions;PermissibleValuesDefinitions;Permissible_Values_Definitions;PV Description;PV Definitions;Choices;Calculations;Slider Labels
UnitOfMeasure,Conditionally Required,"For Number (or Numeric) DataTypes that require a fixed unit of measure (UoM) that is common or standard, enter the UoM here. Users of a fixed UoM should enter data in the provided UoM. If the CDE will use variable UoMs, then the appropriate companion UoM CDE must be used.",Unit_of_Measure;UoM
Notes,Optional,"Notes or comments not captured in other CDE properties or attributes. Refer to specific protocols, recommended use, or use cases as appropriate.",Comments;Additional Notes;Disease Specific Instrutions;Population
Keywords,Optional,"Keywords used for search, query, ontology; include data element aliases; unstructured set of terms or phrases that describe what the CDE is about. Only include terms / phrases that are not already in the CDE metadata (as part of the name, definition, permissible values, etc.). This will be used to group similar CDEs, making them easier to find in the CDE repository.",Keywords;Tags
References,Optional,"If there is published evidence on the validity / reliability in target types of studies of a CDE or Bundle / Group / Subgroup, provide the references to validation publication(s). DOIs, PubMed IDs, or other unique stable identifiers are preferred. URLs are acceptable. If the CDE is part of a standardized instrument, or is directly pulled from external guidance, provide at least one Reference. If used among different applications, provide references for both/all. Use reference for original use of the procedure and/or recent examples of use and evolution; References for core, recommended, supplemental, and exploratory CDEs are encouraged.",Citations
VersionNumber,Optional,"Version of CDE release of which this CDE is part, if available",Version_Number
VersionDate,Optional,"Date of CDE version, if available",Version_Date
CDEID,Conditionally Required,Universal assigned CDE ID,CDE_ID;Identifier;External Id CDISC
CDEIDSource,Conditionally Required,Source of universal assigned CDE ID,CDE_ID_Source;Identifier Source;Source of External Id CDISC
CDESource,Optional,"Source of original CDE definition (e.g. FITBIR, PRECISE-TBI, citation). The source of the CDE may be an existing instrument, project, or other authoritative source. If it is a new CDE, enter project name as the source. NIH ICO names are not acceptable. Be more specific. If more than one source is provided, use a pipe ""|"" to separate values in the list. URLs are acceptable. If the CDE has an Identifier Code assigned, provide the CDE Identifier Code and CDE Indentifier Source in the corresponding CDE Attribute fields. E.g., PRECISE-TBI, PTE, BRICS",CDE_Source
CDECategory,Optional,"Study Metadata; Unit of Measure; Equipment (CDE related to equipment or 
tool; feature or variable that describe equipment or tool); Experimental
Parameters (CDE related to the test subject, test or procedure settings
or step, or variables that describe its use; protocol or protocol-associated factor,
independent variables), Measurements and Observations (a piece of data 
collected as part of the test or procedure; dependent variables)",CDE_Category
InputRestriction,Optional,Additional input criteria,Restricted inputs
CharacterLength,Optional,Maximum number of characters as required by database,Maximum_Character_Quantity
Group,Optional,"Indicates the category a CDE falls under. A group can stand alone, but will typically have several branches or subgroups that increase in specificity. E.g., Injury model, behavioral task. If CDE is single and does not belong to a group, leave blank.",Bundle Category;Subgroup Category
DiseaseDomain,Optional,"Preclinical.general when the CDE could apply to any disease, disorder, study; use disease name as inclusion as appropriate (e.g., preclinical.traumatic brain injury). A CDE may have more than one disease subdomain. If more than one Disease Subdomain is entered, use a pipe ""|"" to separate disease subdomains in the list. E.g., preclinical.general|preclinical.traumatic brain injury|post-traumatic epilepsy",Disease_Domain;Population
